iter	Passed	Remaining
0	2	2239
1	4	2325
2	6	2309
3	8	2212
4	11	2217
5	13	2184
6	15	2131
7	17	2109
8	19	2109
9	21	2101
10	22	2047
11	25	2062
12	27	2067
13	29	2069
14	31	2055
15	33	2063
16	35	2073
17	37	2062
18	39	2060
19	41	2052
20	43	2046
21	45	2036
22	47	2028
23	49	2023
24	52	2028
25	53	2019
26	55	2013
27	58	2021
28	60	2027
29	63	2039
30	65	2060
31	68	2065
32	70	2069
33	72	2068
34	75	2073
35	77	2070
36	78	2052
37	81	2053
38	83	2061
39	86	2074
40	88	2078
41	90	2070
42	93	2070
43	95	2079
44	98	2082
45	100	2081
46	102	2078
47	104	2073
48	106	2075
49	109	2074
50	111	2074
51	113	2072
52	115	2066
53	117	2061
54	120	2063
55	122	2060
56	124	2059
57	126	2056
58	128	2050
59	130	2043
60	132	2036
61	134	2030
62	136	2029
63	138	2024
64	140	2025
65	143	2027
66	145	2022
67	147	2020
68	149	2015
69	151	2009
70	153	2012
71	155	2009
72	158	2008
73	160	2006
74	162	2004
75	164	2000
76	166	2001
77	168	1997
78	171	1997
79	173	1996
80	175	1993
81	178	1993
82	180	1992
83	182	1991
84	184	1989
85	186	1987
86	189	1986
87	191	1982
88	193	1979
89	195	1977
90	197	1975
91	199	1971
92	201	1969
93	204	1967
94	206	1962
95	208	1960
96	210	1956
97	211	1946
98	213	1944
99	215	1940
100	217	1936
101	219	1932
102	221	1930
103	223	1926
104	225	1924
105	227	1920
106	229	1918
107	231	1915
108	233	1911
109	236	1910
110	238	1908
111	240	1905
112	242	1904
113	244	1902
114	245	1892
115	247	1888
116	249	1885
117	251	1882
118	253	1878
119	255	1874
120	257	1872
121	259	1870
122	262	1870
123	265	1872
124	267	1871
125	269	1870
126	270	1861
127	272	1858
128	274	1854
129	275	1845
130	277	1842
131	280	1843
132	282	1839
133	284	1838
134	286	1836
135	288	1833
136	290	1831
137	292	1829
138	295	1828
139	297	1826
140	299	1823
141	301	1819
142	303	1815
143	304	1812
144	306	1809
145	309	1808
146	311	1805
147	313	1805
148	315	1803
149	318	1802
150	318	1793
151	321	1791
152	323	1790
153	325	1788
154	327	1786
155	329	1784
156	331	1781
157	333	1779
158	336	1778
159	338	1777
160	340	1774
161	342	1772
162	344	1770
163	346	1767
164	349	1766
165	351	1765
166	353	1762
167	355	1761
168	357	1758
169	359	1755
170	361	1753
171	363	1752
172	366	1749
173	368	1749
174	371	1749
175	373	1747
176	375	1746
177	378	1746
178	380	1744
179	382	1741
180	384	1738
181	386	1735
182	388	1733
183	392	1739
184	394	1737
185	396	1733
186	398	1731
187	400	1729
188	402	1728
189	405	1729
190	407	1726
191	409	1724
192	411	1721
193	413	1718
194	415	1715
195	418	1714
196	420	1712
197	422	1710
198	424	1709
199	426	1706
200	428	1704
201	430	1701
202	432	1699
203	435	1697
204	437	1694
205	438	1691
206	440	1688
207	442	1685
208	444	1683
209	447	1681
210	448	1678
211	451	1676
212	453	1675
213	455	1673
214	457	1671
215	459	1669
216	461	1666
217	463	1663
218	465	1660
219	467	1658
220	469	1655
221	471	1653
222	474	1653
223	477	1652
224	479	1650
225	481	1647
226	483	1646
227	485	1643
228	486	1639
229	489	1638
230	491	1636
231	493	1633
232	495	1630
233	497	1628
234	500	1628
235	502	1627
236	505	1628
237	507	1625
238	509	1623
239	512	1621
240	514	1618
241	516	1616
242	518	1615
243	520	1612
244	522	1610
245	524	1608
246	526	1606
247	528	1604
248	531	1601
249	533	1600
250	535	1597
251	537	1596
252	539	1593
253	541	1591
254	543	1588
255	545	1586
256	547	1581
257	549	1579
258	551	1577
259	553	1575
260	555	1573
261	557	1570
262	559	1568
263	562	1567
264	564	1565
265	566	1563
266	568	1560
267	569	1555
268	571	1552
269	573	1550
270	575	1548
271	576	1543
272	579	1542
273	581	1539
274	583	1537
275	585	1534
276	587	1532
277	589	1530
278	591	1528
279	593	1526
280	595	1524
281	597	1522
282	600	1520
283	602	1518
284	604	1516
285	606	1514
286	608	1511
287	610	1508
288	612	1505
289	614	1503
290	616	1501
291	618	1499
292	620	1496
293	622	1494
294	624	1492
295	626	1490
296	628	1488
297	631	1488
298	634	1486
299	636	1484
300	637	1480
301	639	1478
302	641	1476
303	644	1475
304	646	1473
305	648	1470
306	650	1468
307	652	1466
308	654	1464
309	657	1462
310	659	1461
311	661	1459
312	663	1456
313	665	1454
314	667	1452
315	669	1449
316	672	1449
317	674	1447
318	676	1444
319	678	1441
320	680	1439
321	682	1436
322	684	1434
323	686	1432
324	689	1431
325	691	1429
326	693	1426
327	695	1424
328	697	1422
329	699	1420
330	702	1419
331	704	1416
332	705	1414
333	707	1411
334	709	1409
335	711	1406
336	714	1404
337	716	1402
338	718	1401
339	720	1399
340	723	1397
341	725	1395
342	727	1393
343	729	1391
344	731	1389
345	733	1387
346	735	1384
347	737	1381
348	739	1379
349	741	1377
350	743	1375
351	745	1372
352	747	1370
353	750	1369
354	752	1367
355	755	1366
356	758	1365
357	759	1362
358	761	1360
359	763	1357
360	765	1355
361	767	1352
362	769	1350
363	771	1348
364	774	1346
365	776	1344
366	779	1343
367	782	1343
368	786	1345
369	789	1343
370	791	1341
371	793	1339
372	795	1337
373	798	1336
374	800	1334
375	803	1332
376	805	1330
377	807	1328
378	809	1326
379	811	1324
380	814	1323
381	816	1321
382	818	1318
383	820	1316
384	822	1313
385	824	1311
386	826	1308
387	828	1306
388	830	1304
389	832	1302
390	834	1300
391	837	1298
392	839	1296
393	840	1293
394	842	1290
395	844	1288
396	846	1286
397	848	1283
398	850	1281
399	852	1278
400	854	1276
401	856	1274
402	858	1271
403	860	1269
404	862	1267
405	865	1265
406	867	1263
407	869	1261
408	871	1260
409	873	1257
410	875	1255
411	877	1252
412	880	1251
413	881	1248
414	883	1245
415	885	1243
416	887	1240
417	888	1237
418	890	1235
419	892	1233
420	894	1230
421	897	1228
422	899	1226
423	901	1224
424	903	1222
425	904	1219
426	907	1217
427	909	1215
428	911	1212
429	913	1210
430	915	1208
431	917	1205
432	918	1203
433	920	1200
434	922	1198
435	924	1196
436	927	1194
437	929	1193
438	931	1190
439	934	1188
440	936	1186
441	938	1184
442	940	1182
443	942	1180
444	944	1177
445	946	1175
446	948	1173
447	950	1170
448	952	1168
449	954	1167
450	957	1165
451	959	1162
452	961	1160
453	963	1159
454	965	1156
455	968	1154
456	970	1152
457	972	1150
458	974	1148
459	976	1146
460	978	1144
461	980	1141
462	982	1139
463	984	1137
464	986	1135
465	989	1133
466	991	1131
467	992	1127
468	994	1125
469	996	1123
470	998	1121
471	1000	1119
472	1002	1117
473	1005	1115
474	1007	1113
475	1009	1110
476	1011	1108
477	1013	1106
478	1015	1104
479	1017	1102
480	1019	1100
481	1022	1098
482	1024	1096
483	1025	1093
484	1027	1091
485	1029	1088
486	1031	1086
487	1033	1084
488	1035	1081
489	1037	1079
490	1039	1077
491	1041	1075
492	1043	1072
493	1045	1070
494	1047	1068
495	1049	1066
496	1051	1064
497	1054	1062
498	1056	1060
499	1058	1058
500	1059	1055
501	1061	1053
502	1063	1050
503	1065	1048
504	1067	1046
505	1069	1044
506	1071	1042
507	1073	1040
508	1076	1038
509	1077	1035
510	1079	1033
511	1081	1031
512	1083	1029
513	1085	1026
514	1087	1024
515	1089	1022
516	1091	1019
517	1093	1017
518	1095	1015
519	1097	1012
520	1099	1010
521	1101	1008
522	1103	1006
523	1105	1004
524	1108	1003
525	1111	1001
526	1113	999
527	1116	997
528	1118	995
529	1119	992
530	1121	990
531	1123	988
532	1126	986
533	1127	984
534	1129	982
535	1131	979
536	1133	977
537	1136	975
538	1138	973
539	1140	971
540	1143	969
541	1145	967
542	1147	965
543	1149	963
544	1151	961
545	1153	959
546	1155	956
547	1157	954
548	1159	952
549	1161	949
550	1163	947
551	1165	945
552	1167	944
553	1169	941
554	1172	939
555	1174	937
556	1176	935
557	1178	933
558	1180	931
559	1182	928
560	1184	926
561	1186	924
562	1187	922
563	1189	919
564	1191	917
565	1193	915
566	1196	913
567	1198	911
568	1200	909
569	1202	907
570	1204	904
571	1207	903
572	1210	901
573	1212	899
574	1214	897
575	1216	895
576	1218	893
577	1220	891
578	1222	888
579	1224	886
580	1226	884
581	1228	882
582	1231	880
583	1233	878
584	1235	876
585	1238	874
586	1240	872
587	1242	870
588	1244	868
589	1246	866
590	1248	864
591	1250	861
592	1252	859
593	1254	857
594	1255	854
595	1257	852
596	1260	850
597	1262	848
598	1264	846
599	1266	844
600	1268	842
601	1271	840
602	1273	838
603	1275	836
604	1277	833
605	1280	832
606	1282	830
607	1284	828
608	1286	825
609	1288	823
610	1290	821
611	1293	819
612	1295	817
613	1297	815
614	1298	812
615	1300	810
616	1302	808
617	1304	806
618	1306	804
619	1308	802
620	1311	800
621	1312	797
622	1314	795
623	1317	793
624	1318	791
625	1321	789
626	1324	787
627	1325	785
628	1327	783
629	1329	780
630	1331	778
631	1333	776
632	1335	774
633	1337	772
634	1339	770
635	1341	767
636	1343	765
637	1345	763
638	1348	761
639	1350	759
640	1352	757
641	1354	755
642	1356	753
643	1358	751
644	1360	748
645	1361	746
646	1363	744
647	1365	741
648	1367	739
649	1369	737
650	1371	735
651	1374	733
652	1376	731
653	1378	729
654	1380	727
655	1382	725
656	1384	723
657	1386	720
658	1389	718
659	1391	716
660	1393	714
661	1395	712
662	1397	710
663	1399	708
664	1401	706
665	1403	704
666	1406	701
667	1408	699
668	1410	697
